aafkagh	to burst
guusagh	to misfire; to fail to shoot
guuteste	to start (engine)
guute	to shoot; to dance or otherwise act vigorously; to start (engine)
ifkaghte	to drop (accidentally or intentionally); to kill
ifkagh	to fall from height; to drop (accidentally)
iflaaghwagh	to lose consciousness; to faint; to feel faint; to pass out; to be incoherent; to be in a daze
ifla	to lose; to get lost; to die
iflii	to lose something; to suffer a loss through someone’s death
igagh	to make a design; to write; to apply a tattoo; to go to school
igaghute	to come to an agreement with someone
igaghwaagh	to scribble
igaghyagh	to go to school
igaq	design; tattoo (especially on a man's arm after he has caught a whale); book; schooling
igaqegkaq	photograph; something written
igaqe	to write (it) down; to photograph
igaqista	photographer
igaqragh	to make a design or trim; to embroider
igaqugh	to photograph several times
igarutaagh	to drill a hole
igataghniighusiq	song sung against hunger (due to sorcery or conpiracy); supplication song  for food
igatagh	to be hungry
igatiqe	to suffer from hunger; to go hungry
igayughqe	to eat lots on account of hunger or for enjoyment; to eat one’s fill; to overeat; to gorge
iggaarqitaagh	to rock back and forth
iggaarqitaaghusiq	seesaw; teeter-totter
iggaarqitaaq	seesaw; teeter-totter
iggagpagtagh	to rock
iggagrakegte	to be steep; to be too slanted
iggagrakgite	to not be steep
iggasighte	to lie down supporting oneself on arm and elbow
ighaluqi	to age auklets in seal oil
ighelleghyiqe	to limp
igherngu	uncomfortable, awkward, or embarrassed upon observing something that is too private, indecent or otherwise disquieting
ighighaghiitaq	support to keep something from tilting
ighighneq, ighighlleq	edge of ice that has been carried north by current, then pushed south; sea ice moved by current or wind to so that it collects in a bay or cove of land or of an ice field
ighileqitaagh	to tickle
ighi	to flock; to be plentiful (birds)
ighivgaghsi	to stay out late
ighivgaqun	this evening; tonight
ighlegite	to be generous; to not hold back what one has; to not hesitate to give
ighlegtu	to be stingy
ighlegute	to refuse to give to (him)
ighleke	to be possessive of; to be reluctant to part with; to refuse to give (it) away
ighlekuughte	to absolutely refuse to allow to leave
ighlleghagh	to keep on pushing
ighllegh	to push; to shove
ighllute	to push into
ighllu	to insert something into a hole; to clean a gun barrel; to give an enema
ighlluughagh	to keep on probing or cleaning (as with a rifle-cleaning rod)
ighlutku	to chant in a quavering voice.
ighneghlli	to process and dry the intestines of walrus or bearded seal
ighneghwaaq	finger; toe
ighni	to give birth; for a rock to crack
ighsa1	to refuse
ighsaghqe	to completely come apart, break apart or take apart
ighsake	to refuse (him, her, it)
ighsalqite	to be anxious; to be worried
ighsanitagh	to be lazy; to be disinclined to act
ighsani	to refuse to do as told (from laziness or general disinclination)
ighsaqitagh	to have a pounding, fluttering, or palpitating heart
ighsaqughllug	to get or have heart trouble
ighsatagh	to habitually refuse to do as told or asked (as from shyness, haughtiness, etc.)
ighsayagute	to get on one’s nerves; to pester
ightugh	to become soft through being flexed
ighu	leg; "leg"like side-piece on flat-bottomed boat
ighunaq	something that is like a leg in appearance or function such as the part of a sled that holds the bed to the runners; stanchion of sled
ighungigh	to injure the leg; to lose a leg through injury or amputation
ighwaaghte	to injure the leg
ighwaaghtuute	to lay and roll on the ground or in the snow (of dogs)
ighyaghqe	to grimace
ighyagte	to frown; to wail (of a baby)
igiighsagh	to train physically; to work out (exercise)
igiigh	to get in shape; to stand up straight; to get strong after an illness; to make up one's mind
igiilngagh	to avoid bumping or being hit; to mistreat; to travel near a certain area
igiisnayiite	to be sly; to be unpredictable in a threatening way; to be careless; to be untrustworthy
igiiterug	to behave well
igiitusigate	to be sneaky; to be underhanded
igilngagh	to walk past something
igkamsug	to stalk something
iglagigh	to untangle (hair, rope, etc.)
iglagrugtaagh	to yodel
iglagtu	to have or use a loud voice
iglagute	to tangle
iglakegte	to have a pleasant voice; to sing well
iglegha	to be traveling; to be running (of machinery)
igleghte	to travel; to move; to go; to start
Igllutka	site located to the west of Lake Nayvak (the lagoon where old Chaplino is at the eastern corner) in Chukotka
igughpagte	to jell rapidly
igughqe	for rigor mortis to set in one
igughsaqneq	one who always wants someone to defend him
igughte	to jell; to congeal; to stiffen
igugh	to defend; to stick up for
igu	to remove meat or other food from a pot after cooking
igyawiste	to not have time
ihihihiyagh	to groan
iiggeluughqe	to contaminate by touching
iiggereghwaagh	to dig for artifacts
iigge	to dig
iighaate	to play hide-and-seek
iighagh, iighaghllug-	to get or have a swollen gland
iigharaagh	to play hide-and-seek
iighhaq*	string story; cat's cradle
iighhwaange	to feel very frustrated; to have a hard time from frustration
iighsiigh	to use a hoist on
iighsugh	to hoist with rope
iigh	to hide
iighwaghtute	to lie around
iighwigh	to become whole
iighwite	to be whole; to not have given birth (yet)
iighwte	to sip a liquid; for tide to go down or out; for tide to wash (it) out
iighwziig	to inhale; for waves to go out
iigkaghagh	to sneak up on; to tiptoe to; to creep up to
iigsagh	to go digging (as for artifacts, auklets aged underground, or other buried items)
iigtugh	to dig with intensity
iikaghagh1	to tiptoe
iikaghagh2	to suddenly come undone; to come off by accident
iike	to remove; to unfasten
iikna	that one across or over there or to the south or east
iiksigh	for a piece of ice to partially detach from shore ice; to begin to detach
iilngigh	to lose or extract a front tooth
iilngiq	gap left by a lost tooth in the front of the mouth
iilqayagute	to give up on
iilqayugigate	to be perseverant
iilqayug	to give up (and quit); to give up hope
iilqayuke	to lack faith in (it)
iilqe	to become sad
iilvagh	to elevate; to honor; to hoist
iime	to develop a hollow or depression
iimgutaq	tobacco pouch or similar rolledup container
iimna	that aforementioned one known to both speaker and listener; that one in an undetermined place away from here
iimnga	to have a depression in it
iinghusalek	rule to ensure safety
iinghute	to warn
iingqaghyagh	to catch by hooking
iingqaq*	gum (anatomical)
iingqighte	to stab through a sea mammal’s eye to kill it 
iingte	to moulted
iinqe	to coo to a child; to say the customary made-up words, nonsense phrases, etc., used for that particular child to that child
iinqisiq	the customary madeup words spoken to a particular child; cooing words or song
iinqun	the customary madeup words spoken to a particular child; cooing words or song
iipgite	to be dull
iipkegsighwaagh	to tell jokes
iiqmig	to put something in the mouth without eating it
iiskegte	to have good eyes, good eyesight
iiskughte	to guard; to watch out for
iisqaghmig	to put (it) on one's shoulder
iisqaq	area of body around top of shoulders and back of neck
iisqiighute	to slump down; to let one’s shoulders droop
iisqugh	intimidated; hesitant to look another in the eye; considerate of the feelings of others; self-conscious
iisqughte	to get a foreign object in one's eye
iitghute	to bring in forcefully
iitqiinagh	to just drop in (as for a short visit)
iitugh	to dig with intensity
iivagh	to fade away in the distance
iiw	for tide to go down
iiyaq	ventilator; air vent
iiyngite	to be eyeless; to be blind
ikayugh	to respond (positively) to; to go along or agree with; to help
ikayuqu	to help; to be helpful
ikfiqe	to have intense pain; to feel anguish; to be anxious; to long for or miss another
ikiite	to disappear (of a person)
ikiwan	if they can or if it can happen to them (then we could or it could happen to us); it can happen to others too; even them/him
iklagrugte	to be somewhat clear up; to clean somewhat
iklagte	to clean; to wash; to tidy up
iklungigh	to insure; to safeguard
iknaqe	to be strong (in any sense)
iknaqsuugte	to feel stronger after an illness; to act as if one is stronger than others
iknaqughi	to become stronger
iksiin	strap ice creeper to footwear
iksiisigh	to attach ice creeper to footwear
ikufkagh	to quickly cut off a small piece; to cut off a small piece immediately
ikugh	to remove; to cut off
ikumla	to be okay; to be acceptable; to be suitable
ikute	to cut off a piece (for)
ikuvike	to cut off a piece (from)
ikuyegmig	to bump or nudge with one's elbow
ikuyegtaagh	to lean on one's elbow
ikuyegvike	to put one's elbow on (it)
ikwegte	to scratch (long) on the face
ilaagh	to patch
ilagagh	to sing
ilakaghqaq	something to be added or included
ilaligh	to supplement
ilaliigh	to make friends
ilamghi	to want more
ilangghiite	to not talk
ilangqughqu	to get ice to melt for water
ilangqughrag	to get coated or covered with ice
ilangqughsiigh	to get ice to melt for water
ilangsiniigh	to look for more; to try to get more
ilapga	to comply with; to respond to; to help
ilaraagh	to stretch the news; to exaggerate
ilarngughte	to reduce something; to lesson
ilataa	to join with others; to go along
ilate	to add in; to join in
ila	to add something to (it)
ilefkaate	to come loose (from being tied)
ilefkaghagh	to suddenly come undone or off
ileme	to come undone; to come untied
ilughwaghniighute	to tease each other (between cross-cousins)
ilukegte	to be a considerate and pleasant person
iluliqe	to have heart trouble
ilulliqe	to be in a very bad mood; to be angry
ilumigh	to snack
ilumike	to hold dear
ilumsuggangite	to feel helpless; to feel defeated
ilungighteqe	to be anxious; to be worried
ilungiitaq	to snack
ilungiitigh	to snack
ilungite	to be indecisive; to be unreliable; to lack mental strength or willpower
ilutmiighte	to go inward; go into the river
ilu	to flare up (of lamp, fire in stove, etc.)
ilutughsagh	to encourage; to reassure; to support
ilutughte	to feel encouraged or reassured
ilutu	to be courageous
imaangigh	to sob uncontrolably
imaghlliigh	to travel in rough waters
imaghqe	to drench
imamta	even though I told him/her …
imange	to leak water in; to acquire contents or pus; to become pregnant
imaqe	to be full of something
imaqun	too bad!
ima	too bad!; oh no!
imeg	to roll up; to coil up; to fold up; (slang) to run in a group
imerutaaghute	to coil or wind (it) around something
imgagh	to implant itself (of a spirit)
imigh	to put contents in; to fill (partially or totally)
imiisaq	gift given in gratitude to someone who has brought food to a feast
imiitaa	to feel insecure when alone because of helplessness
imiite1	to be empty
imiite2	to give something to one who has brought food over
impite	to distribute or receive a piece or pieces of a catch during butchering
imtuqiqe	to stutter
imughaghtagh	to have watery eyes and difficulty in breathing due to wind
imughteqe	to be tearful due to strong emotions
imutagh	to coil the rope of (it)
inagmig	to hold in lap
ineghneghlliqe	to be disobedient; to play about
ineghte	to admonish; to warn; to alert; to forbid; to tell not to do something
inegmig	to put under one's arm or between one's leg; to put in pocket
inegniigh	to put hand into pocket
ineg	to have pain in inguinal glands
inek	groin; armpit; bend in body or land similar to armpit or groin
ineligh	to sew on a pocket
ineqsuke	to find attractive or cute (especially a baby)
ineqsunagh	to be attractive (especially of a female); to be pretty
ingapighqaagh	to move over a little; to postpone
inghu	to pick berries; to pick up small berry-like items (beads, marbles, etc.)
ingleghtaq	crosspiece fastening together foundation poles (emgaari) around the periphery of the traditional domeshaped house, the mangteghapik (q.v.)
ingliigh	to lay out bedding
ingllevagh	to move sideways
ingllevaq	area farther to the side
inglukutaq	wooden hook used to retrieve a fishing line from the water in order to clean off the ice from it
ingyagh, ingyaghaghte-	to do something ahead of another; to pass; to go ahead of; to surpass
iniiragh	to dry meat in strips to dry inside the house
ini	to hang to dry
inpite	to distribute or receive a piece or pieces of a catch during butchering
inqun	just because; in order to; of course
insenae	engine; motor
inukagh	to suddenly change one’s mind and withdraw from an activity or not repeat an action
ipapiighqe	to come to pass; to become reality
ipegriqe	to be persistent
ipegsaan	whetstone; sharpening stone
ipegsagh	to sharpen; whet
ipeg	to be sharp
ipigra	to be kicking about; to be thrashing around with the feet
ipigtu	to come high up the leg (of boots, socks, etc.)
iptag	to pry; to use a lever on
ipugte	to tilt up one's head; to perk up
ipug	to pry; to scoop; to pick up with a fork or other sharp object
iqaaghqe	to get dirty
iqali	to get acquainted with a stranger 
iqalliniigh	to fish
iqallugaq	tomcod (Microgadus proximus)
iqangigh	to clean
iqangite	to be clean
iqaniigh	to fish for king crab through the ice
iqatu	to be dirty
iqeghte	to tether a dead walrus to shore or boat for butchering
iqeghtiigh	to remove or lose paint; to scrape one’s skin accidently
iqeghutaq	rope used to tether a dead walrus
iqemyaaghagh	to grin broadly
iqenge	to smile
iqetughte	to widen
iqetu	to be wide
iqiqute	to move (it/him) over or away; remove (it/him)
iqite	to move; to remove
iqitqute	to move away from a crowd
iqitute	to make room for
iqlengagh	to be a liar
iqlengiqe	to lie; to tell lie(s)
iqlighayiilliqe	to smile awkwardly from embarrassment
iqlighmete	to be smiling
iqlighte	to smile
iqligh	to light a seal-oil lamp
iqlugte	to gnaw
iqlumghu,	to doubt; to be unsure of something
iqmiligha	to have so much food in the mouth that the cheeks bulge
iqraghqe	to become crooked; to distort one’s face
iqragmete	to be crooked; to be slanted
iqrag	uneven; distorted
iqregaghte	to chip
iqugte	to end; to come to an end
iqukngitaq	clothes placed next to one lying down for warmth or to block a draft
iqunighte	to slant; to lean; to tilt; to favor (agree or side with someone)
iqusleq	bent grass stuck to the ground; matted grass
iqute	to defeat in a wrestling match
iqu	to fall over
iqwaagha	to stumble or stagger around
iriig	to not fall; to stay erect
isami	to pay attention to (him); to tend to (him)
isavghagh	to move boat on sea ice using small sled
isekinagh	to be cold to the touch (of water, metal, etc.)
isiqaghte	to splash
isiqghute	to toss out liquid; to throw out liquid
isiqghuute	to fall into the water with a splash
itagnaghhalek	so fine!; so satisfactory!
itagnaghi	to recover; to get well; to get enough to feel satisfied; to become acceptable
itagnagh	to be okay; to be satisfactory; to be acceptable
itagnaghyug	to feel satisfied
itagnatun	in a satisfactory way; satisfactorily; appropriately; acceptably
itagsi	to be thrifty; to not be wasteful
itake	to take care of (self, clothes, belongings, etc.); to save for later use; to conserve
itegaastaghmig	to catch with claws or talons
itegaastagh	to hit on the foot with rock, bullet, arrow, etc.
iteghaghwaagh	to submerge (of whales)
itegherki	to move back and forth or in and out; to go by boat betweem ice floes
iteghsigh	to move into a house
itegh	to go in; to enter; to move in
iteghvik	entrance; opening for something to go in
iteghwaghwaagh	to submerge (of whales)
itegmig	to kick
itegmigute	to trip and fall; to kick against something
itek	toecap of skinboot
iteme	to come undone; to come untied
itemqugh	to take apart; to disassemble
itghagh	to go further inward
itghaghwaghwaagh	to submerge (of whales)
itghute	to bring in
itghuugute	to get wet; to be soaked
itineq	ice protuding out beneath the water’s surface from the bottom of a floe or ice field
itugigh	to milk
ivaghniigh	to hunt
ivagh	to search for; to miss (and look for); to look for
ivegh	to wade
ivenrughta	person who operates outboard motor
ivenrugh	to operate an outboard motor; to go by a boat powered by a motor
ivenruuta, ivenruun	outboard motor
ivgagha	to be in a trance (usually alone)
ivgagh	to come or go around the corner; to come or go into the room
ivgeghreghugh	for a strong wind to come around a point or projection of land
ivghaagh	to wade around
iviigh	to celebrate a certain ceremony in which a group of clan women sing after a whale has been caught 
ivrestuunae	grindstone; sharpener
ivrestuune	to sharpen with a whetstone
iwhani	to do like that
iyagh	to make a design; to write; to apply a tattoo; to go to school
iyaq	design; tattoo (especially on a man's arm after he has caught a whale); book; schooling
iyarutaagh	to drill a hole
iyatagh	to be hungry
iyellugmete	to have bad eyesight
iyengekestagh	for one's eyes to begin to open (as of a puppy)
iyesughnagh	to be irritating to the eyes
iyeveli	to make the eyes figure in a game of cat’s cradle
kaaghte	to let the current drift a boat or an animal carcass
kaalgugh	to haul dead whale or the like to shore
kaallataqu	to arrive safely or opportunely
kaame	to chew gum
kaamgalugte	to repeatedly go to get someone without success
kaana 	that one down there, near the water, to the west
kaangqite	for snow or dust to get into the scalp, fur, or feathers
kaangqwagh	to cross water or land by jumping from rock to rock or ice block to ice block
kaapegragh 	to tap on something
kaape	to stab; to poke; to pierce a whale with a harpoon; to innoculate
kaapqaghte	to jab
kaapute	to poke something; to bump (of fish); to go into sea swell (of boat)
kaapuvike	to sew, or stitch on; to fasten or pin
kaate	to arrive; to reach or get to; to catch up with; to overtake
kaave	to topple; to collapse; to tumble down; to fall down; for there to be a rockslide or landslide
kaavlak	bearberry (Arctostaphylos sp.)
kaawasaki	old type of motorized boat; Kawasaki brand or type motorized vehicle
kaawngkagh	to jump; to leap
kaaw	to hit, especially with something other than the hand
kafsagtagh	to make shuffling, crinkling or rustling sound (s)
kagagniigh	to try to breathe; to try to catch one’s breath
kagalaqe	to cut and divide up meat from a catch so that it is ready to be put on sleds
kagaqe	to remove gum material from baleen
kagaragh	to catch or touch something or someone with the horns; to butt
kagasigh	to check a crab-line
kaga	to be unruly; to be disordered; to be disheveled (of hair or the like)
kagaygute	to excitedly run about
kagime	to crumble
kagimleghwaaq	crushed ice in shore lead which is hard for boat to pass through; dense brash ice in shore lead
kagimleq	crushed ice in shore lead which is hard for boat to pass through; dense brash ice in shore lead
kagpag	to pack; to store away somnething
kagpesug	to feel claustrophobic; to feel closed in upon; to feel breathless
kagsagmig	to whip repeatedly
kagsagte	to whip
kagtaghtaghwaagh	to keep concealed
kagu	to reach in
kaguugh	to reach in and keep one’s hand(s) in (as to feel around for something)
kaguuragh	to explore by reaching in; to feel around inside
kakavaatagh	to be extremely panicky
kakave	to panic
kakeggmillaghqe	to make one’s nose bleed
kakeghqe	to have a bloody nose; to have a nosebleed
kakeglliigh	to have a runny or snotty nose
kakegllugigh	to wipe or blow one's nose
kakegllugtu	to have a congested nose
kakegte	to have a bloody nose; to have a nosebleed
kakek	apex or uppermost part where roof poles meet and are lashed together in the traditional domeshaped house, the mangteghapik (q.v.)
kakelighte	to have a cold
kakiigh	to keep on sewing
kaki	to sew
kakivike	to sew something onto (it); to fasten a charm onto (him)
kaksaate	to throw something (belt, rope, etc.) over someone; to whip
kaksagte	to whip
kalefkaghte	to sink suddenly
kaleru	to brag about one’s possessions
kaleve	to sink into water, mud, snow, etc.; to drown
kalevnaq, kalefkagnaq	snow into which sled runners can sink while traveling
kallagte	to drum (and sing); to beat the drum
kallite	to be thundering
kallugughte	for there to start to be thunder
kalngagaq	storage bag; burlap sack; gunny sack
kalngagmig	to put into a sealskin bag
kamagragh	to butt
kamagriitaq	whip used to drive a reindeer herd
kamagrin	mammoth; mastodon; buried tusk of mammoth or mastodon
kamagrita	mammoth; mastodon; buried tusk of mammoth or mastodon
kamegragh	to drive reindeer with a sharp stick
kameg	to put on skin-boots
kamepik	woman's kneehigh winter boot with bleached sealskin top
kamiigh	to make boots
kanaghaghte	to put (it) in quickly
kanagha	to walk with difficulty through soft snow
kanaghite	to sink in the ocean and be hard to pull up (of a heavy sea mammal)
kanaghtaagh	to keep in a container
kanaghtaq	food put into a container to ferment
kanaghte	to put into container
kanagh	to step through soft ice or into a hole 
kanakiiwhte	to stare downwards with the head bent down; to keep one’s eyes lowered
kanavagh	to move downwards; to go out to sea; for west wind to blow
kanegh	to frost
kangestiiqu	to go to a place bringing one’s supplies and equipment in several trips
kangghalugte	to feel better after an illness
kangightelleq	knot used to make loop at end of rope; bowline
kangightilleq	knot used to make loop at end of rope; bowline
kangii	to take away from oneself
kangiqliq*	thing at inner end; wisdom tooth; molar
kangita	wedge shaped open water to the side of where pack ice touches shore ice
kangkasighpak	tornado; cyclone
kangllaagh	to close in on something
kanglluute	to stand or crowd around something in large numbers
kanglu, kangllu-	to surround; to crowd around
kangqwaaq	small pieces of ice in the sea loosely clustered together; shuga (?)
kangsugh	to be too large to fit in an opening
kangsumqaghte	to get stuck trying to go through an opening
kangsuute	to crowd together in a small area
kangyaaqe	to see (him) off on a trip
kaniiyugte	to jealously guard one’s priority in a situation
kanivaan	diaphram (anatomical)
kanuughqe	to accidently get blood on; to bloody
kanuuguute	to bleed
kapeghte	to pound on something repeatedly; to pound blubber to make it render faster
kapsagtagh	to rustle
kapugh	to stab repeatedly; to poke repeatedly; to innoculate people
kasivag	to encounter or meet head-on unexpectedly
kaspigpak	large overlapping upended and angled piece of thin ice frozen into the sea ice surface
kaspikengeltaq	small overlapping upended and angled piece of thin ice frozen into the sea ice surface
kaspik	overlapping upended and angled piece of thin ice frozen into the sea ice surface; roofing shingle
kaspugte	to pass through a specific time or place; to go around; to go through completely from beginning to end; complete (a course of action)
kasughqu	to repeatedly hit (as waves on a cliff)
kasug	to bump into something hard; for surf to hit shore; for waves to hit boat; to club (hit hard)
katag	to empty or dump a container outside
katelghaate	to come as a group
katengsi	to gather or save up something
kavighqwaa	to blush; to redden
kavighte	to redden; to dye red
kavighun	red dye; alder bark used to dye skin red
kavighuute	to suddenly emit red light or become reddish
kavite	to be red
kavyugite	to be soft-spoken
kavyuguute	to speak softly
kayaaghtaagh	to flex the arm muscle
kayaali	to weaken; to get weak
kayaalqe	to beat; to conquer; to outdo; to win
kayaalqiiraaghute	to compete
kayaate	to be weak
kayaghqagh	to hope
kayagte	to urge; to send someone on an errand
kayalaawi	to become weak; weaken
kayalnga	to go somewhere without letting anyone know where
kayanagh	to be out of condition
kayanqun	something to be added
kayanqutkaghqaq	something to be added; trim material
kayaqagh	to encourage; to shout encouragement
kayeme	to urge; to encourage; to aid; to help
kayemghhagh	to move (something) by leaning and pushing on it
kayemugh, kayemghagh-	to keep encouraging
kayepghagh	to scoot oneself along the ice on a small sled pushing with sticks or the like against the ice
kayiipa	storebought bread; flat cake; doughnut
kayi	to cook (chopped seal blubber) to extract oil; to make oil from
kayngae	brown bear (Ursus arctos)
kayngumiqe	to be embarrassed
kayngungite	to not be shy; to not be embarrassed or ashamed
kayngusaghagh	to make a fool of oneself
kayngusleghagh	to become embarrassed by one’s actions but still continue them
kayunge	to become faster; to accelerate
kayupik	Pacific staghorn sculpin (Leptocottus armatus)
kayusigh	to help
kayusiite	to help out
kazegh	to go out
kazifkagte	to walk around something
kazifte	to spin
kazivaalug	to get dizzy
kazive	to spin; to whirl; to engage in a certain shamanistic rite
kazivutkagh	to be anxious and confused
kegaraasigh	to make slashes through the skin at the crown of the head of a caught walrus or bearded seal to attach a rope for pulling or hoisting
kelag	to unravel; to come undone
keleg	to alert someone of an opportunity, danger, etc.; to tell someone that it’s time to act; to invite; to alert; to inform; to startle and scare away (a wild animal)
kelengake	to guard; to watch for or watch out for; to babysit
kelengaruugh	to watch carefully
kelenga	to be wary; to be on guard
kelevagh	to go back from shore or behind building; to take back from shore or behind building; to go further into the house or room
keleve	to cut into a strip (when making thong from hide)
kelgugh	to invite people; to inform people
kelgunghughte	to make or become wary (of game animal)
kelgute	to show; to reveal
keligagh	to scrape with long easy strokes
kelig	to scrape
keligtugh	to scrape with short hard strokes
kelilleq	scrapings, especially the material scraped from the inside of a pipe and then added to tobacco
kellmighqe	to verify; to find out more
kellngugh	to be in the (recent) past; to be finished; to be over
kelqe	to bring along
kelulghun	rope attached to the foundation of a winter house
kelusiqaq	dry walrus skin which is used to cover the summer house
keluvagh	go to the back 
keluvaq	area far to the back 
kemgite	to be skinny
kemkiilin	toothpick
kemkiilisiq	toothpick
kemkiili	to pick one's teeth; remove food particle from between teeth
kemnagh	to be capacious; to be spacious; to hold a lot
keneghmig	to place in gathered front of garment
kenegte	to press
keneligh, kenigh-1	to shine a light on (it), put a light in (it)
kenigh2	to point at
kenileq	passage, cleared of shore ice, for boats to go out to sea; boat path or launching place (on sea ice)
keniliigh	to clear a passage for boats
keniqaan	knob (originally ivory, now also metal) on shaft of harpon to which line from harpoon head is attached; cervical vertebra
keniqagh	to point with the middle finger from anger
kenite	to soak; to soak a skin preparatory to stretching it onto a boat frame
kenlengnaqe	to ask; to make inquiries about; to try to understand or find out
kenle	to get to the heart of the matter
kennaqe	to be going to or intending to set out in a boat from the shore; to put out to sea
kennataq	small lamp/stove used in outer room of the traditional domeshaped house, the mangteghapik (q.v.)
kennigh	to remove an extra oil-lamp; to put away the oil-lamp for the seance of the shaman
kenqignagh	to be a disciplined person; to be modest
kentate	to be successful
kenugragh	to press with knuckles
kenuketaq	plug; stopper used for sealskin pokes, floats, holes in a boat, etc.
kenukutaq	plug; stopper used for sealskin pokes, floats, holes in a boat, etc.
kenuqagh	to stab
kenuregh	to poke hard with the finger
kenu	to poke; to push into with a pointed instrument; to bore; to test ice
kenuugte	to develop points (of clouds)
kepe	to cut off; to cut in half across the short dimension; to sever; to discontinue
kepkagh	to snap in two; to break in two
kepliigh	to cut bangs
kepsiiqu	to lend a hand; to be helpful; to help out
kepsugh	to have a full stomach; to be satiated; to have enough
kepugh	to cut up completely; to cut short; to cut hair (in appropriate context)
kerek	come! (to call puppy)
kergam	no sooner than; ready to act
keskesaagh	to shoo away a puppy using the expression "kes-kes".
kesnaghte	to ask for the fulfilment of a promise; to remind
keste	to count
kesutke	to count somebody or something in; to add
ketae	area in front; area towards water (ocean); entrance to the aagra, the insulated inner room of traditional domeshaped house
ketanqu	to run
kete	to launch a boat; to go out to sea
ketfaghte	to recollect
ketfagh	to go far out to sea; to come out to an open place in full view
ketligh	to betray
ketliq	neighbor living toward the south; one sitting nearer to exit
ketmiighte	to go down along the river; to swim out from shore to sea
ketmun	out to sea; outwards; toward water; toward exit; away from shore (into the sea)
ketngig	to kick (especially with the bottom of one's heel)
kevaawagh	to raise; to elevate; to place higher
kevaghqu	to lift a bit to check the weight of something
keveg	to lift
kevgaagh	to hold and carry after lifting
kevigh	to stuff; to plug; to load (a gun); to fill (a hole, crack, etc.)
keviiti	to prepare meat for storage by putting it in containers
keviqaataq	meat stored by being stuffed in a skin sack
kevyunagh	to be unappetizing (of food)
kewaayi	to take and eat only a certain food over and over
kezingughte	to gather; to save
kiighaghtagh	to feel feverish; to have chills (from fever or fear)
kiighragtagh	to get by as best one can despite lack of knowledge
kiighte	to split (hide or fish); to slice; to separate something into parts leaving them connected on the side (as when slicing a hot dog bun)
kiig	to be summer
kiigumigh	for there to be a heat wave during winter melting snow and ice
kiilaa	to die from a cut or wound (without being taken)(of game animal)
kiimllugte	to get dim
kiimsigh	to reply; to answer
kiingighte	to thaw out food
kiingngwaag 	to tag (in play)
kiiste	to make red-hot; to burn
kiitigh	to get a cut or wound
kiive	to settle (food in stomach, child after crying, tub draining, sediment sinking, etc.); to abate
kiivnigh	for there to be slush snow in the sea water impeding boat travel
kiivnin	slush snow in sea water impeding boat travel and sometimes sinking  below the surface or even to the shallow bottom near the shore 
Kiiwaaghek	Kewagek Cr. on St. Lawrence Is., emptying into Niyrakpak Lagoon
kiiwna	that one further in; that one toward the northeast; that one toward Savoonga from Gambell; one at far end
kiksag	to anchor with a spike or similar thing
kilgaamiqe	to become a person living wild in the wilderness
kilgaanigh	to become detached
kilgaaqu	to run a long distance
kiligh	to cut; to get cut; to wound
kimaawi	to be delayed; to act too slowly (as because of factors beyond one's control); to take too long
kinegh	to dry
kinengyugnaghqe	to place clothing or other things where they can dry
kingi1	to act babyishly (of a child whose mother is expecting)
kingi2	to have part of a sea mammal carcass eaten by maggots
kingumegte	to be the last group of whales traveling in the season
kingute	to be late
kipullegte	to alternate; to pass (and miss) coming from the opposite direction; to take turns
Kisii	projection of land into lagoon from barrier isthmus toward east end of Koozata Lagoon on St. Lawrence Is.
kiteghqe1	to overcook (meat)
kiteghqe2	to tightly pull the rope on a pulley
kitugh	to pass; to go by; to surpass
kivaagh	to calm down; to lessen; to abate; to slacken
kiyaghlliqe	to contain something; to have something or somebody
kiyaghsigate	to always be busy; to never be idle
kiyaghte	to be; to reside; to live; to be alive
kiyaghute	to support; to provide for; to live by (it)
kiyaqurragh	to loaf; to do nothing
kuguutitke	to not want to leave (him) feeling one's help or company is needed
kukeghqugh	to have a throbbing pain
kukegte	to shine light; to ignite
kukragniite	to be easily accomplished; to not be hard to do
kukrak	person who is clumsy and slow to learn or perform
kukriqe	to have a difficult time
kukumtugh	to try to get at something before others do or before it is too late; to fear being left out or deprived of one's chance
kukumyalqi	to whistle
kulngagh	to go slack; to sag
kulngallaagte	to wither; to fade
kumaagte	to be infested with lice
kumagh	to be on fire; to be lit; to ignite
kumaghugh	to grow (of flame)
kumakigh	to delouse
kumegagh	to rake
kumeg	to scratch to relieve an itch
kumekereqagh	to scratch lightly repeatedly
kumkiilin	toothpick
kumkiilisiq	toothpick
kumkiili	to pick one's teeth; to remove food particle from between teeth
kumkuyalqi	to whistle
kumlaaghqe	to freeze solid
kumlama	to be frozen
kumlamiigh	to eat frozen meat
kumlamiigh	to eat meat frozen
kumlaqugh	to get frostbitten
kumlaregagh	to begin to freeze
kumlate	to freeze; to have cold hands and/or feet (or other body part)
Kumlavik	October
kumlii	to have one’s hands become extremely cold and nearly frostbitten
Kumlulquuyak	projection of land into lagoon from barrier isthmus near west end of Koozata Lagoon on St. Lawrence Is.
kumyugte	to gather, reducing in size, an opening of something flexible; to pucker the lips
kurriiqe	to get cold readily
kurwaawi	to be joyful for no particular reason
kusgeluughqe	to make dirty
kusgetu	to be dirty
kuufkallghugh	to pour excessively
kuukgute	to give light; to shine; to kindle a flame
